PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;24;30;28079024_30_59;2018;10;19;000.2;V;000.1;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2018;10;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;N;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2018;10;19;01.27;V;01.26;V;01.25;V;01.25;V;01.25;V;01.25;V;01.25;V;01.26;V;01.26;V;01.27;V;01.29;V;01.29;V;01.28;V;01.28;V;01.29;V;01.28;V;01.28;V;01.27;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2018;10;19;01.24;V;01.23;V;01.22;V;01.22;V;01.22;V;01.22;V;01.23;V;01.23;V;01.21;V;01.23;V;01.24;V;01.25;V;01.24;V;01.25;V;01.25;V;01.25;V;01.25;V;01.24;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2018;10;19;00.03;V;00.03;V;00.03;V;00.03;V;00.03;V;00.03;V;00.03;V;00.02;V;00.05;V;00.04;V;00.05;V;00.04;V;00.04;V;00.04;V;00.04;V;00.03;V;00.03;V;00.03;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2018;10;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00009;V;00019;V;00018;V;00013;V;00002;V;00002;V;00001;V;00002;V;00008;V;00002;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2018;10;19;00013;V;00007;V;00004;V;00006;V;00008;V;00009;V;00023;V;00044;V;00060;V;00054;V;00040;V;00012;V;00011;V;00012;V;00013;V;00032;V;00016;V;00016;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2018;10;19;00015;V;00009;V;00005;V;00007;V;00010;V;00011;V;00027;V;00058;V;00090;V;00082;V;00060;V;00014;V;00014;V;00014;V;00016;V;00045;V;00019;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2018;10;19;38.18;V;40.88;V;53.39;V;51.37;V;48.35;V;50.65;V;36.02;V;21.98;V;12.13;V;15.30;V;22.67;V;47.28;V;48.12;V;47.74;V;47.29;V;37.55;V;50.38;V;53.02;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2018;10;19;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00009;V;00010;V;00008;V;00008;V;00008;V;00008;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2018;10;19;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.4;V;000.5;V;000.6;V;000.5;V;000.6;V;000.5;V;000.5;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2018;10;19;00015;V;00028;V;00008;V;00004;V;00003;V;00006;V;00013;V;00028;V;00032;V;00043;V;00043;V;00050;V;00066;V;00044;V;00016;V;00007;V;00007;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2018;10;19;00040;V;00042;V;00036;V;00032;V;00027;V;00031;V;00039;V;00046;V;00049;V;00054;V;00054;V;00055;V;00060;V;00057;V;00049;V;00047;V;00048;V;00047;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2018;10;19;00063;V;00085;V;00049;V;00039;V;00032;V;00040;V;00058;V;00089;V;00098;V;00119;V;00120;V;00131;V;00162;V;00125;V;00074;V;00058;V;00059;V;00057;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2018;10;19;36.84;V;45.52;V;56.36;V;54.18;V;55.93;V;55.48;V;44.85;V;24.00;V;22.54;V;20.48;V;25.65;V;23.38;V;23.03;V;32.99;V;26.08;V;27.19;V;26.58;V;35.67;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2018;10;19;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2018;10;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2018;10;19;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00006;V;00007;V;00016;V;00010;V;00008;V;00006;V;00006;V;00005;V;00006;V;00007;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2018;10;19;00009;V;00005;V;00004;V;00002;V;00003;V;00007;V;00022;V;00042;V;00044;V;00051;V;00033;V;00027;V;00017;V;00017;V;00019;V;00026;V;00035;V;00023;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2018;10;19;00010;V;00010;V;00009;V;00008;V;00007;V;00009;V;00009;V;00008;V;00010;V;00009;V;00010;V;00013;V;00012;V;00014;V;00016;V;00017;V;00012;V;00011;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2018;10;19;00012;V;00007;V;00005;V;00004;V;00005;V;00010;V;00024;V;00051;V;00054;V;00076;V;00048;V;00038;V;00027;V;00026;V;00027;V;00036;V;00046;V;00029;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2018;10;19;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00010;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00009;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2018;10;19;00008;V;00002;V;00046;V;00001;V;00001;V;00001;V;00008;V;00026;V;00062;V;00095;V;00041;V;00040;V;00049;V;00030;V;00035;V;00030;V;00044;V;00038;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;8;28079038_8_8;2018;10;19;00023;V;00011;V;00017;V;00004;V;00005;V;00007;V;00027;V;00057;V;00083;V;00095;V;00052;V;00048;V;00047;V;00039;V;00048;V;00048;V;00066;V;00060;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;9;28079038_9_47;2018;10;19;00008;V;00005;V;00004;V;00002;V;00001;V;00001;V;00001;V;00002;V;00005;V;00009;V;00012;V;00011;V;00010;V;00008;V;00005;V;00010;V;00008;V;00011;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;10;28079038_10_47;2018;10;19;00012;V;00008;V;00007;V;00004;V;00002;V;00001;V;00001;V;00004;V;00008;V;00014;V;00019;V;00016;V;00021;V;00021;V;00014;V;00015;V;00014;V;00020;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;12;28079038_12_8;2018;10;19;00034;V;00015;V;00087;V;00006;V;00006;V;00008;V;00040;V;00097;V;00178;V;00241;V;00116;V;00109;V;00123;V;00084;V;00101;V;00094;V;00133;V;00118;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;20;28079038_20_59;2018;10;19;000.9;V;000.8;V;000.7;V;000.5;V;000.5;V;000.4;V;000.4;V;000.8;V;001.3;V;002.2;V;003.3;V;002.2;V;002.1;V;001.9;V;002.1;V;002.0;V;001.7;V;001.9;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;30;28079038_30_59;2018;10;19;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.8;V;000.9;V;000.6;V;000.5;V;000.5;V;000.6;V;000.6;V;000.5;V;000.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
